,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
0,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477
1,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68373305
2,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101266
3,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.0229511866
4,andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406
5,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847
6,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848
7,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795366
8,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464
9,andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
10,andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.296541
11,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
12,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244
13,andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416
14,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
15,andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.6585041
16,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313
17,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.66941178
18,andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.2301130476
19,andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
20,andaman-&-nicobar-islands,2023,1,Merchant payments,1122063,1008821751.0
21,andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,862347,3299762230.0
22,andaman-&-nicobar-islands,2023,1,Recharge & bill payments,286024,146338470.0
23,andaman-&-nicobar-islands,2023,1,Financial Services,2515,3556954.0
24,andaman-&-nicobar-islands,2023,1,Others,3443,3049182.0
25,andaman-&-nicobar-islands,2023,2,Merchant payments,1410653,1159905474.0
26,andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,970525,3664415887.0
27,andaman-&-nicobar-islands,2023,2,Recharge & bill payments,320922,158455723.0
28,andaman-&-nicobar-islands,2023,2,Financial Services,2158,4161814.0
29,andaman-&-nicobar-islands,2023,2,Others,3517,3405338.0
30,andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.8729725825
31,andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,91808345.86839552
32,andaman-&-nicobar-islands,2019,1,Merchant payments,1759,3266589.8469614363
33,andaman-&-nicobar-islands,2019,1,Financial Services,62,116250.43671861099
34,andaman-&-nicobar-islands,2019,1,Others,283,497094.6484417205
35,andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,7242448.256212333
36,andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,107525358.66652842
37,andaman-&-nicobar-islands,2019,2,Merchant payments,4031,4702152.616619372
38,andaman-&-nicobar-islands,2019,2,Financial Services,124,113278.91371326067
39,andaman-&-nicobar-islands,2019,2,Others,377,671471.222589792
40,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171737.705916681
41,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101079821.10344616
42,andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428734.574846684
43,andaman-&-nicobar-islands,2019,3,Financial Services,50,158857.94315586874
44,andaman-&-nicobar-islands,2019,3,Others,215,232624.75992853564
45,andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,121493224.30754511
46,andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,9538690.916424634
47,andaman-&-nicobar-islands,2019,4,Merchant payments,2920,5247500.487902376
48,andaman-&-nicobar-islands,2019,4,Financial Services,60,295937.2110898865
49,andaman-&-nicobar-islands,2019,4,Others,200,263177.5944158883
50,andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478
51,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996
52,andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458
53,andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653
54,andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228
55,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307
56,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121
57,andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.50908463
58,andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710338
59,andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562
60,andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996
61,andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055
62,andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761328
63,andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573
64,andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162
65,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582
66,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62433755
67,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464358
68,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068
69,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944
70,andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332401.79234773
71,andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850414.023977457
72,andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752871.558217709
73,andaman-&-nicobar-islands,2020,1,Financial Services,66,208231.73071652642
74,andaman-&-nicobar-islands,2020,1,Others,216,332393.19201521645
75,andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659622.73418829
76,andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141728757.73517442
77,andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236375.740471343
78,andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.1397115812
79,andaman-&-nicobar-islands,2020,2,Others,355,313313.0646014327
80,andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756220.875469353
81,andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289078946.7312394
82,andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22682992.238478824
83,andaman-&-nicobar-islands,2020,3,Financial Services,572,961836.7129860274
84,andaman-&-nicobar-islands,2020,3,Others,808,539449.7721868362
85,andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533316526.1814983
86,andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710030.534383245
87,andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867468.940003954
88,andaman-&-nicobar-islands,2020,4,Financial Services,965,1880546.9672370641
89,andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272
90,andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.4673655091
91,andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982
92,andaman-&-nicobar-islands,2018,1,Merchant payments,298,452507.168646613
93,andaman-&-nicobar-islands,2018,1,Financial Services,33,10601.419933464953
94,andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223
95,andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479
96,andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.231047668
97,andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008
98,andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509
99,andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576
100,andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829
101,andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.541635044
102,andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043
103,andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806485
104,andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323
105,andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375
106,andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177
107,andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656
108,andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286
109,andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435
110,tamil-nadu,2022,1,Merchant payments,139788772,81798208975.87326
111,tamil-nadu,2022,1,Peer-to-peer payments,119383791,409631710258.4541
112,tamil-nadu,2022,1,Recharge & bill payments,34579431,20705079141.096962
113,tamil-nadu,2022,1,Financial Services,241201,298216135.377552
114,tamil-nadu,2022,1,Others,579955,355987089.8306444
115,tamil-nadu,2022,2,Merchant payments,179245529,100813133534.0309
116,tamil-nadu,2022,2,Peer-to-peer payments,136341691,464333108374.5711
117,tamil-nadu,2022,2,Recharge & bill payments,38257271,24477663683.793488
118,tamil-nadu,2022,2,Financial Services,202498,233054908.96978933
119,tamil-nadu,2022,2,Others,459948,277767177.03123105
120,tamil-nadu,2022,3,Merchant payments,202149276,109801011246.16069
121,tamil-nadu,2022,3,Peer-to-peer payments,148805657,493880482824.984
